"StopName","InDegree","OutDegree","TotalDegree","InCloseness","OutCloseness","Betweenness","Eigenvector","PageRank"
"100_ft_road",1,1,2,1,0.117428637734973,0.000635879672196383,0,0.000441370788765782
"dawood_goth",1,1,2,1,0.112647780504127,0.000313546563431345,0,0.000441370788765782
"maymar_complex",1,1,2,1,0.13059219032842,0.00155160229821489,0,0.000573007690678383
"saadi_town",1,2,3,1,0.124295170384898,0.00155774725781178,0,0.000573007690678383
"mohajir_camp_no_5",1,1,2,1,0.122785731618539,0.00155467477801333,0,0.000573007690678383
